"",".id","year","scenario","qimd","friendly_name","baseline","serial_ensemble","parallel_ensemble","parallel_ensemble_wt","init_year","cancel_program","annual_coverage","annual_coverage_cost","annual_uptake","annual_uptake_cost","antihtn_px","statin_px","prescription_target","lifestyle_target","lifestyle_target_cost","cpp_chd","dpp_chd","cpp_stroke","dpp_stroke","dpp_other","net_utility","net_cost","sei","rei","cpp_t2dm","cpp_af","cpp_lc","cpp_chd_cml","cpp_stroke_cml","cpp_t2dm_cml","cpp_af_cml","cpp_lc_cml","dpp_chd_cml","dpp_stroke_cml","dpp_other_cml","net_utility_cml","net_cost_cml","nmb_cml"
"1",1,2017,"sc1","1","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,1,0,2,-2,1,0.657464097313628,32892.3421636508,319.850881121244,-5.23890560649061e-05,0.5,1,0.1,1,2,0,1,0,0,-2,1,0.657464097313628,32892.3421636508,-19743.0602173782
"2",1,2017,"sc1","2","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,-2,1,3,-1,-2,3.25757511507568,19025.6128033727,301.559969042284,7.08288018818869e-05,-1,1.5,-0.2,-2,3,-1,2,0,1,-1,-2,3.25757511507568,19025.6128033727,46125.8894981409
"3",1,2017,"sc1","3","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,4,1,3,2,0,-0.0483499813222998,14847.1416971475,-90.4818570646121,8.77133679789789e-06,2,1.5,0.4,4,3,2,2,0,1,2,0,-0.0483499813222998,14847.1416971475,-15814.1413235935
"4",1,2017,"sc1","4","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,3,-2,-2,1,2,0.853833998141523,-13182.4930224126,-128.420435834753,-9.72418110563468e-07,1.5,-1,0.3,3,-2,2,-1,0,-2,1,2,0.853833998141523,-13182.4930224126,30259.1729852431
"5",1,2017,"sc1","5","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,-1,-1,1,2,-2,3.52336664340526,219.569819554767,-123.224622815782,3.19271905957073e-05,-0.5,0.5,-0.1,-1,1,0,0,0,-1,2,-2,3.52336664340526,219.569819554767,70247.7630485504
"6",1,2017,"sc2","1","Scenario 2",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,-2,0,0,-2,0,-0.77052470228173,43524.1098651299,60.1521413907754,5.18022090428425e-05,-1,0,-0.2,-2,0,-1,0,0,0,-2,0,-0.77052470228173,43524.1098651299,-58934.6039107645
"7",1,2017,"sc2","2","Scenario 2",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,-1,-1,-1,0,4,1.22624375153405,23061.6567125775,-131.314035279413,0.000197003241481185,-0.5,-0.5,-0.1,-1,-1,0,0,0,-1,0,4,1.22624375153405,23061.6567125775,1463.21831810342
"8",1,2017,"sc2","3","Scenario 2",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,5,2,2,-1,0,8.14997873118041,41103.4203608579,59.4815072735909,-0.00103713564073459,2.5,1,0.5,5,2,2,1,0,2,-1,0,8.14997873118041,41103.4203608579,121896.15426275
"9",1,2017,"sc2","4","Scenario 2",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,1,-2,2,-2,-1,-3.0531953471383,2812.07872010862,23.6063221273899,3.84839304419362e-05,0.5,1,0.1,1,2,0,1,0,-2,-2,-1,-3.0531953471383,2812.07872010862,-63875.9856628746
"10",1,2017,"sc2","5","Scenario 2",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,0,1,0,-2,2,0.729918586437073,17846.613290941,156.264684311993,7.30773585871416e-05,0,0,0,0,0,0,0,0,1,-2,2,0.729918586437073,17846.613290941,-3248.24156219956
"11",2,2017,"sc1","1","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,1,0,0,2,0,0.636956396587504,35976.4608682846,43.0082985778558,5.47181632642607e-05,0.5,0,0.1,1,0,0,0,0,0,2,0,0.636956396587504,35976.4608682846,-23237.3329365346
"12",2,2017,"sc1","2","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,2,0,5,-1,-1,0.503674341132213,32028.6125833534,-210.940465899653,-2.01487059728113e-05,1,2.5,0.2,2,5,1,2,0,0,-1,-1,0.503674341132213,32028.6125833534,-21955.1257607092
"13",2,2017,"sc1","3","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,-1,1,-2,1,-2,0.612015639002752,14707.7312078387,101.418290611589,1.24397227440378e-05,-0.5,-1,-0.1,-1,-2,0,-1,0,1,1,-2,0.612015639002752,14707.7312078387,-2467.41842778367
"14",2,2017,"sc1","4","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,5,2,-1,1,-1,0.632989843490683,20373.9414988122,392.005299018217,0.000111186790742041,2.5,-0.5,0.5,5,-1,2,0,0,2,1,-1,0.632989843490683,20373.9414988122,-7714.14462899854
"15",2,2017,"sc1","5","Scenario 1",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,1,-1,-1,1,3,-0.721361321569024,17735.284405514,117.664915900928,5.38126742456043e-05,0.5,-0.5,0.1,1,-1,0,0,0,-1,1,3,-0.721361321569024,17735.284405514,-32162.5108368945
"16",2,2017,"sc2","1","Scenario 2",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,2,-2,1,-2,-2,-0.93528522834078,54068.2585492205,259.631374806382,6.31429007368766e-05,1,0.5,0.2,2,1,1,0,0,-2,-2,-2,-0.93528522834078,54068.2585492205,-72773.9631160361
"17",2,2017,"sc2","2","Scenario 2",FALSE,FALSE,FALSE,100,17,FALSE,0.2,20,0.66,20,0.6,0.6,0.6,0,0,-1,-1,-2,0,-4,-1.62308540731574,-642.273779649069,169.679649312019,2.98326507290138e-05,-0.5,-1,-0.1,-1,-2,0,-1,0,-1,0,-4,-1.62308540731574,-642.273779649069,-31819.4343666657
